POLClass	Type	Fuel	Powertrain	Automation	Proportion
Bplate	SUV_MID_SIZE	Gas	PHEV	L3/4	0
Bplate	SUV_MID_SIZE	Gas	PHEV	L5	0
Bplate	SUV_FULL_SIZE	Diesel	Conventional	No	0
Bplate	SUV_FULL_SIZE	Diesel	Conventional	L3/4	0
Bplate	SUV_FULL_SIZE	Diesel	Conventional	L5	0
Bplate	SUV_FULL_SIZE	Gas	Conventional	No	0.04
Bplate	SUV_FULL_SIZE	Gas	Conventional	L3/4	0
Bplate	SUV_FULL_SIZE	Gas	Conventional	L5	0
Bplate	SUV_FULL_SIZE	Gas	Conv_48V	No	0
Bplate	SUV_FULL_SIZE	Gas	Conv_48V	L3/4	0
Bplate	SUV_FULL_SIZE	Gas	Conv_48V	L5	0
Bplate	SUV_FULL_SIZE	Gas	HEV	No	0
Bplate	SUV_FULL_SIZE	Gas	HEV	L3/4	0
Bplate	SUV_FULL_SIZE	Gas	HEV	L5	0
Bplate	TRUCK_FULL_SIZE	Diesel	Conventional	No	0
Bplate	TRUCK_FULL_SIZE	Diesel	Conventional	L3/4	0
Bplate	TRUCK_FULL_SIZE	Diesel	Conventional	L5	0
Bplate	TRUCK_FULL_SIZE	Gas	Conventional	No	0.07
Bplate	TRUCK_FULL_SIZE	Gas	Conventional	L3/4	0
Bplate	TRUCK_FULL_SIZE	Gas	Conventional	L5	0
Bplate	TRUCK_FULL_SIZE	Gas	Conv_48V	No	0
Bplate	TRUCK_FULL_SIZE	Gas	Conv_48V	L3/4	0
Bplate	TRUCK_FULL_SIZE	Gas	Conv_48V	L5	0
Bplate	TRUCK_MID_SIZE	BEV	BEV	No	0
Bplate	TRUCK_MID_SIZE	BEV	BEV	L3/4	0
Bplate	TRUCK_MID_SIZE	BEV	BEV	L5	0
Bplate	TRUCK_MID_SIZE	Diesel	Conventional	No	0.01
Bplate	TRUCK_MID_SIZE	Diesel	Conventional	L3/4	0
Bplate	TRUCK_MID_SIZE	Diesel	Conventional	L5	0
Bplate	TRUCK_MID_SIZE	Gas	Conventional	No	0.03
Bplate	TRUCK_MID_SIZE	Gas	Conventional	L3/4	0
Bplate	TRUCK_MID_SIZE	Gas	Conventional	L5	0
LDT	SUV_COMPACT	BEV	BEV	No	0
LDT	SUV_COMPACT	BEV	BEV	L3/4	0
LDT	SUV_COMPACT	BEV	BEV	L5	0
LDT	SUV_COMPACT	Diesel	Conventional	No	0
LDT	SUV_COMPACT	Diesel	Conventional	L3/4	0
LDT	SUV_COMPACT	Diesel	Conventional	L5	0
LDT	SUV_COMPACT	Gas	Conventional	No	0.141509434
LDT	SUV_COMPACT	Gas	Conventional	L3/4	0.075471698
LDT	SUV_COMPACT	Gas	Conventional	L5	0
LDT	SUV_COMPACT	Gas	Conv_48V	No	0.08490566
LDT	SUV_COMPACT	Gas	Conv_48V	L3/4	0
LDT	SUV_COMPACT	Gas	Conv_48V	L5	0
LDT	SUV_COMPACT	Gas	HEV	No	0.037735849
LDT	SUV_COMPACT	Gas	HEV	L3/4	0
LDT	SUV_COMPACT	Gas	HEV	L5	0
LDT	SUV_COMPACT	Gas	PHEV	No	0
LDT	SUV_COMPACT	Gas	PHEV	L3/4	0
LDT	SUV_COMPACT	Gas	PHEV	L5	0
LDT	SUV_MID_SIZE	BEV	BEV	No	0
LDT	SUV_MID_SIZE	BEV	BEV	L3/4	0
LDT	SUV_MID_SIZE	BEV	BEV	L5	0
LDT	SUV_MID_SIZE	Diesel	Conventional	No	0
LDT	SUV_MID_SIZE	Diesel	Conventional	L3/4	0
LDT	SUV_MID_SIZE	Diesel	Conventional	L5	0
LDT	SUV_MID_SIZE	Gas	Conventional	No	0.20754717
LDT	SUV_MID_SIZE	Gas	Conventional	L3/4	0
LDT	SUV_MID_SIZE	Gas	Conventional	L5	0
LDT	SUV_MID_SIZE	Gas	Conv_48V	No	0.132075472
LDT	SUV_MID_SIZE	Gas	Conv_48V	L3/4	0
LDT	SUV_MID_SIZE	Gas	Conv_48V	L5	0
LDT	SUV_MID_SIZE	Gas	HEV	No	0.037735849
LDT	SUV_MID_SIZE	Gas	HEV	L3/4	0
LDT	SUV_MID_SIZE	Gas	HEV	L5	0
LDT	SUV_MID_SIZE	Gas	PHEV	No	0
LDT	SUV_MID_SIZE	Gas	PHEV	L3/4	0
LDT	SUV_MID_SIZE	Gas	PHEV	L5	0
LDT	SUV_FULL_SIZE	Diesel	Conventional	No	0
LDT	SUV_FULL_SIZE	Diesel	Conventional	L3/4	0
LDT	SUV_FULL_SIZE	Diesel	Conventional	L5	0
LDT	SUV_FULL_SIZE	Gas	Conventional	No	0.075471698
LDT	SUV_FULL_SIZE	Gas	Conventional	L3/4	0
LDT	SUV_FULL_SIZE	Gas	Conventional	L5	0
LDT	SUV_FULL_SIZE	Gas	Conv_48V	No	0
LDT	SUV_FULL_SIZE	Gas	Conv_48V	L3/4	0
LDT	SUV_FULL_SIZE	Gas	Conv_48V	L5	0
LDT	SUV_FULL_SIZE	Gas	HEV	No	0
LDT	SUV_FULL_SIZE	Gas	HEV	L3/4	0
LDT	SUV_FULL_SIZE	Gas	HEV	L5	0
LDT	TRUCK_FULL_SIZE	Diesel	Conventional	No	0
LDT	TRUCK_FULL_SIZE	Diesel	Conventional	L3/4	0
LDT	TRUCK_FULL_SIZE	Diesel	Conventional	L5	0
LDT	TRUCK_FULL_SIZE	Gas	Conventional	No	0.132075472
LDT	TRUCK_FULL_SIZE	Gas	Conventional	L3/4	0
LDT	TRUCK_FULL_SIZE	Gas	Conventional	L5	0
LDT	TRUCK_FULL_SIZE	Gas	Conv_48V	No	0
LDT	TRUCK_FULL_SIZE	Gas	Conv_48V	L3/4	0
LDT	TRUCK_FULL_SIZE	Gas	Conv_48V	L5	0
LDT	TRUCK_MID_SIZE	BEV	BEV	No	0
LDT	TRUCK_MID_SIZE	BEV	BEV	L3/4	0
LDT	TRUCK_MID_SIZE	BEV	BEV	L5	0
LDT	TRUCK_MID_SIZE	Diesel	Conventional	No	0.018867925
LDT	TRUCK_MID_SIZE	Diesel	Conventional	L3/4	0
LDT	TRUCK_MID_SIZE	Diesel	Conventional	L5	0
LDT	TRUCK_MID_SIZE	Gas	Conventional	No	0.056603774
LDT	TRUCK_MID_SIZE	Gas	Conventional	L3/4	0
LDT	TRUCK_MID_SIZE	Gas	Conventional	L5	0
MDT	Class3Box	Gas	Conventional	No	0.132075472
MDT	Class3Box	Gas	Conventional	L3/4	0
MDT	Class3Box	Gas	Conventional	L5	0
MDT	Class3Box	Gas	Conv_48V	No	0.075471698
MDT	Class3Box	Gas	Conv_48V	L3/4	0
MDT	Class3Box	Gas	Conv_48V	L5	0
MDT	Class3Box	Diesel	HEV	No	0.037735849
MDT	Class3Box	Diesel	HEV	L3/4	0
MDT	Class3Box	Diesel	HEV	L5	0
MDT	Class3Box	Gas	HEV	No	0
MDT	Class3Box	Gas	HEV	L3/4	0
MDT	Class3Box	Gas	HEV	L5	0
MDT	Class3Box	Diesel	PHEV	No	0
MDT	Class3Box	Diesel	PHEV	L3/4	0
MDT	Class3Box	Diesel	PHEV	L5	0
MDT	Class3Box	Gas	PHEV	No	0
MDT	Class3Box	Gas	PHEV	L3/4	0
MDT	Class3Box	Gas	PHEV	L5	0
MDT	Class3Box	BEV	BEV	No	0
MDT	Class3Box	BEV	BEV	L3/4	0
MDT	Class3Box	BEV	BEV	L5	0
TransitShuttle	Class3Shuttle	Gas	Conventional	No	0
TransitShuttle	Class3Shuttle	Gas	Conventional	L3/4	0
TransitShuttle	Class3Shuttle	Gas	Conventional	L5	0
TransitShuttle	Class3Shuttle	Gas	Conv_48V	No	1
TransitShuttle	Class3Shuttle	Gas	Conv_48V	L3/4	0
TransitShuttle	Class3Shuttle	Gas	Conv_48V	L5	0
TransitShuttle	Class3Shuttle	Gas	HEV	No	0
TransitShuttle	Class3Shuttle	Gas	HEV	L3/4	0
TransitShuttle	Class3Shuttle	Gas	HEV	L5	0
TransitShuttle	Class3Shuttle	Gas	PHEV	No	0
TransitShuttle	Class3Shuttle	Gas	PHEV	L3/4	0
TransitShuttle	Class3Shuttle	Gas	PHEV	L5	0
MDT	Class4Delivery	Diesel	Conventional	No	0.150943396
MDT	Class4Delivery	Diesel	Conventional	L3/4	0
MDT	Class4Delivery	Diesel	Conventional	L5	0
MDT	Class4Delivery	Diesel	Conv_48V	No	0.150943396
MDT	Class4Delivery	Diesel	Conv_48V	L3/4	0
MDT	Class4Delivery	Diesel	Conv_48V	L5	0
MDT	Class4Delivery	Gas	Conventional	No	0
MDT	Class4Delivery	Gas	Conventional	L3/4	0
MDT	Class4Delivery	Gas	Conventional	L5	0
MDT	Class4Delivery	Gas	Conv_48V	No	0
MDT	Class4Delivery	Gas	Conv_48V	L3/4	0
MDT	Class4Delivery	Gas	Conv_48V	L5	0
MDT	Class4Delivery	Diesel	HEV	No	0.075471698
MDT	Class4Delivery	Diesel	HEV	L3/4	0
MDT	Class4Delivery	Diesel	HEV	L5	0
MDT	Class4Delivery	Gas	HEV	No	0
MDT	Class4Delivery	Gas	HEV	L3/4	0
MDT	Class4Delivery	Gas	HEV	L5	0
MDT	Class4Delivery	Diesel	PHEV	No	0
MDT	Class4Delivery	Diesel	PHEV	L3/4	0
MDT	Class4Delivery	Diesel	PHEV	L5	0
MDT	Class4Delivery	Gas	PHEV	No	0
MDT	Class4Delivery	Gas	PHEV	L3/4	0
MDT	Class4Delivery	Gas	PHEV	L5	0
MDT	Class4Delivery	BEV	BEV	No	0
MDT	Class4Delivery	BEV	BEV	L3/4	0
MDT	Class4Delivery	BEV	BEV	L5	0
MDT	Class6P&D	Diesel	Conventional	No	0.150943396
MDT	Class6P&D	Diesel	Conventional	L3/4	0
MDT	Class6P&D	Diesel	Conventional	L5	0
MDT	Class6P&D	Diesel	Conv_48V	No	0.150943396
MDT	Class6P&D	Diesel	Conv_48V	L3/4	0
MDT	Class6P&D	Diesel	Conv_48V	L5	0
MDT	Class6P&D	Diesel	HEV	No	0.075471698
MDT	Class6P&D	Diesel	HEV	L3/4	0
MDT	Class6P&D	Diesel	HEV	L5	0
MDT	Class6P&D	BEV	BEV	No	0
MDT	Class6P&D	BEV	BEV	L3/4	0
MDT	Class6P&D	BEV	BEV	L5	0
Transit40	TRANSIT_BUS_40	Diesel	Conventional	No	0
Transit40	TRANSIT_BUS_40	Diesel	Conventional	L3/4	0
Transit40	TRANSIT_BUS_40	Diesel	Conventional	L5	0
Transit40	TRANSIT_BUS_40	Diesel	HEV	No	0.6
Transit40	TRANSIT_BUS_40	Diesel	HEV	L3/4	0
Transit40	TRANSIT_BUS_40	Diesel	HEV	L5	0
Transit40	TRANSIT_BUS_40	BEV	BEVShortRange	No	0
Transit40	TRANSIT_BUS_40	BEV	BEVShortRange	L3/4	0
Transit40	TRANSIT_BUS_40	BEV	BEVShortRange	L5	0
Transit40	TRANSIT_BUS_40	BEV	BEV	No	0.4
Transit40	TRANSIT_BUS_40	BEV	BEV	L3/4	0
Transit40	TRANSIT_BUS_40	BEV	BEV	L5	0
HDT	Class8_LineHaul	Diesel	Conventional	No	0.75
HDT	Class8_LineHaul	Diesel	Conventional	L3/4	0.25
HDT	Class8_LineHaul	Diesel	Conventional	L5	0
TNC	CAR_COMPACT	BEV	BEV	No	0.0449
TNC	CAR_COMPACT	BEV	BEV	L3/4	0.0000
TNC	CAR_COMPACT	BEV	BEV	L5	0.0000
TNC	CAR_COMPACT	Diesel	Conventional	No	0.0000
TNC	CAR_COMPACT	Diesel	Conventional	L3/4	0.0000
TNC	CAR_COMPACT	Diesel	Conventional	L5	0.0000
TNC	CAR_COMPACT	Gas	Conventional	No	0.0330
TNC	CAR_COMPACT	Gas	Conventional	L3/4	0.0681
TNC	CAR_COMPACT	Gas	Conventional	L5	0.0000
TNC	CAR_COMPACT	Gas	Conv_48V	No	0.0506
TNC	CAR_COMPACT	Gas	Conv_48V	L3/4	0.0000
TNC	CAR_COMPACT	Gas	Conv_48V	L5	0.0000
TNC	CAR_COMPACT	Gas	HEV	No	0.0112
TNC	CAR_COMPACT	Gas	HEV	L3/4	0.0000
TNC	CAR_COMPACT	Gas	HEV	L5	0.0000
TNC	CAR_COMPACT	Gas	PHEV	No	0.0000
TNC	CAR_COMPACT	Gas	PHEV	L3/4	0.0000
TNC	CAR_COMPACT	Gas	PHEV	L5	0.0000
TNC	CAR_MID_SIZE	BEV	BEV	No	0.0337
TNC	CAR_MID_SIZE	BEV	BEV	L3/4	0.0000
TNC	CAR_MID_SIZE	BEV	BEV	L5	0.0000
TNC	CAR_MID_SIZE	Diesel	Conventional	No	0.0000
TNC	CAR_MID_SIZE	Diesel	Conventional	L3/4	0.0000
TNC	CAR_MID_SIZE	Diesel	Conventional	L5	0.0000
TNC	CAR_MID_SIZE	Gas	Conventional	No	0.0160
TNC	CAR_MID_SIZE	Gas	Conventional	L3/4	0.0908
TNC	CAR_MID_SIZE	Gas	Conventional	L5	0.0000
TNC	CAR_MID_SIZE	Gas	Conv_48V	No	0.0449
TNC	CAR_MID_SIZE	Gas	Conv_48V	L3/4	0.0000
TNC	CAR_MID_SIZE	Gas	Conv_48V	L5	0.0000
TNC	CAR_MID_SIZE	Gas	HEV	No	0.0225
TNC	CAR_MID_SIZE	Gas	HEV	L3/4	0.0000
TNC	CAR_MID_SIZE	Gas	HEV	L5	0.0000
TNC	CAR_MID_SIZE	Gas	PHEV	No	0.0337
TNC	CAR_MID_SIZE	Gas	PHEV	L3/4	0.0000
TNC	CAR_MID_SIZE	Gas	PHEV	L5	0.0000
TNC	CAR_FULL_SIZE	BEV	BEV	No	0.0000
TNC	CAR_FULL_SIZE	BEV	BEV	L3/4	0.0000
TNC	CAR_FULL_SIZE	BEV	BEV	L5	0.0000
TNC	CAR_FULL_SIZE	Diesel	Conventional	No	0.0000
TNC	CAR_FULL_SIZE	Diesel	Conventional	L3/4	0.0000
TNC	CAR_FULL_SIZE	Diesel	Conventional	L5	0.0000
TNC	CAR_FULL_SIZE	Gas	Conventional	No	0.0449
TNC	CAR_FULL_SIZE	Gas	Conventional	L3/4	0.0000
TNC	CAR_FULL_SIZE	Gas	Conventional	L5	0.0000
TNC	CAR_FULL_SIZE	Gas	Conv_48V	No	0.0112
TNC	CAR_FULL_SIZE	Gas	Conv_48V	L3/4	0.0000
TNC	CAR_FULL_SIZE	Gas	Conv_48V	L5	0.0000
TNC	CAR_FULL_SIZE	Gas	HEV	No	0.0000
TNC	CAR_FULL_SIZE	Gas	HEV	L3/4	0.0000
TNC	CAR_FULL_SIZE	Gas	HEV	L5	0.0000
TNC	CAR_FULL_SIZE	Gas	PHEV	No	0.0225
TNC	CAR_FULL_SIZE	Gas	PHEV	L3/4	0.0000
TNC	CAR_FULL_SIZE	Gas	PHEV	L5	0.0000
TNC	SUV_COMPACT	BEV	BEV	No	0.0000
TNC	SUV_COMPACT	BEV	BEV	L3/4	0.0000
TNC	SUV_COMPACT	BEV	BEV	L5	0.0000
TNC	SUV_COMPACT	Diesel	Conventional	No	0.0000
TNC	SUV_COMPACT	Diesel	Conventional	L3/4	0.0000
TNC	SUV_COMPACT	Diesel	Conventional	L5	0.0000
TNC	SUV_COMPACT	Gas	Conventional	No	0.0384
TNC	SUV_COMPACT	Gas	Conventional	L3/4	0.0908
TNC	SUV_COMPACT	Gas	Conventional	L5	0.0000
TNC	SUV_COMPACT	Gas	Conv_48V	No	0.0506
TNC	SUV_COMPACT	Gas	Conv_48V	L3/4	0.0000
TNC	SUV_COMPACT	Gas	Conv_48V	L5	0.0000
TNC	SUV_COMPACT	Gas	HEV	No	0.0225
TNC	SUV_COMPACT	Gas	HEV	L3/4	0.0000
TNC	SUV_COMPACT	Gas	HEV	L5	0.0000
TNC	SUV_COMPACT	Gas	PHEV	No	0.0000
TNC	SUV_COMPACT	Gas	PHEV	L3/4	0.0000
TNC	SUV_COMPACT	Gas	PHEV	L5	0.0000
TNC	SUV_MID_SIZE	BEV	BEV	No	0.0000
TNC	SUV_MID_SIZE	BEV	BEV	L3/4	0.0000
TNC	SUV_MID_SIZE	BEV	BEV	L5	0.0000
TNC	SUV_MID_SIZE	Diesel	Conventional	No	0.0000
TNC	SUV_MID_SIZE	Diesel	Conventional	L3/4	0.0000
TNC	SUV_MID_SIZE	Diesel	Conventional	L5	0.0000
TNC	SUV_MID_SIZE	Gas	Conventional	No	0.1236
TNC	SUV_MID_SIZE	Gas	Conventional	L3/4	0.0000
TNC	SUV_MID_SIZE	Gas	Conventional	L5	0.0000
TNC	SUV_MID_SIZE	Gas	Conv_48V	No	0.0787
TNC	SUV_MID_SIZE	Gas	Conv_48V	L3/4	0.0000
TNC	SUV_MID_SIZE	Gas	Conv_48V	L5	0.0000
TNC	SUV_MID_SIZE	Gas	HEV	No	0.0225
TNC	SUV_MID_SIZE	Gas	HEV	L3/4	0.0000
TNC	SUV_MID_SIZE	Gas	HEV	L5	0.0000
TNC	SUV_MID_SIZE	Gas	PHEV	No	0.0000
TNC	SUV_MID_SIZE	Gas	PHEV	L3/4	0.0000
TNC	SUV_MID_SIZE	Gas	PHEV	L5	0.0000
TNC	SUV_FULL_SIZE	Diesel	Conventional	No	0.0000
TNC	SUV_FULL_SIZE	Diesel	Conventional	L3/4	0.0000
TNC	SUV_FULL_SIZE	Diesel	Conventional	L5	0.0000
TNC	SUV_FULL_SIZE	Gas	Conventional	No	0.0449
TNC	SUV_FULL_SIZE	Gas	Conventional	L3/4	0.0000
TNC	SUV_FULL_SIZE	Gas	Conventional	L5	0.0000
TNC	SUV_FULL_SIZE	Gas	Conv_48V	No	0.0000
TNC	SUV_FULL_SIZE	Gas	Conv_48V	L3/4	0.0000
TNC	SUV_FULL_SIZE	Gas	Conv_48V	L5	0.0000
TNC	SUV_FULL_SIZE	Gas	HEV	No	0.0000
TNC	SUV_FULL_SIZE	Gas	HEV	L3/4	0.0000
TNC	SUV_FULL_SIZE	Gas	HEV	L5	0.0000
